city,grnd_level,humidity,pressure,sea_level,temp,temp_max,temp_min,deg,gust,speed,lat,lng
paamiut,1003.5,73,1003.62,1003.62,3.55,3.55,3.55,185.625,,1.19,57.002858259138975,-50.249619254039544
westport,,73,1021.0,,21.59,23.89,19.44,200.0,,7.7,-38.079763828846595,165.3915414332368
campoverde,,81,1030.0,,12.4,15.0,11.0,160.0,,2.6,-9.434312213211214,-74.42316837493334
georgetown,,79,1012.0,,30.54,31.0,30.0,50.0,,4.1,-0.5648975736204278,-22.39561198833283
ulagan,820.62,65,1022.7,1022.7,2.75,2.75,2.75,221.886,,0.92,51.38290964081088,88.9242212196661
souillac,,63,1021.0,,17.0,18.89,15.0,,,1.0,-54.75459031382467,76.16891006296208
souris,,100,1020.0,,15.38,16.11,15.0,210.0,8.7,6.2,46.09587846559964,-62.14691546822765
sur,995.36,64,1013.14,1013.14,27.75,27.75,27.75,150.21,,4.6,23.310205305479272,59.88783018340487
bathsheba,,66,1013.0,,31.0,31.0,31.0,120.0,,11.8,15.651043227678713,-51.284226469408
lima,,87,1015.0,,16.0,16.0,16.0,200.0,,2.1,-19.500093033459294,-89.97712040060641
sola,870.24,19,1004.79,1004.79,31.15,31.15,31.15,133.13,,4.22,-13.731917646689368,165.6183456201598
verkhnyaya inta,1012.37,87,1020.88,1020.88,-0.16,-0.16,-0.16,75.023,,3.92,66.79700237932127,61.51093932556026
arcachon,,60,1021.0,,20.05,21.11,19.0,220.0,,3.6,45.048197880542546,-1.94510521679166
odesskoye,1009.77,55,1022.98,1022.98,13.45,13.45,13.45,73.627,,2.17,53.648094580091055,72.59050144983942
anadyr,,100,994.0,,2.89,3.0,2.78,110.0,9.0,7.0,66.22295573178693,179.02557169875797
sioux lookout,,81,1013.0,,5.41,6.0,5.0,280.0,7.7,4.6,53.78332299508398,-90.94035656852567
namatanai,986.0,84,1008.43,1008.43,26.15,26.15,26.15,145.091,,4.86,6.287585726466091,158.108305288606
brae,,87,999.0,,11.0,11.0,11.0,170.0,19.5,13.4,64.18722287000253,-0.4862083931843699
beidao,839.63,81,1024.74,1024.74,8.25,8.25,8.25,73.929,,1.13,34.75097194546683,105.48247359286086
grobina,,81,1014.0,,8.0,8.0,8.0,320.568,,5.07,56.56495273800459,21.181021407377955
kijang,,93,1014.0,,17.0,17.0,17.0,300.0,,3.6,2.8534619613204057,106.63150159267371
penzance,,100,1012.0,,15.89,16.67,15.0,250.0,,4.1,48.53058003881799,-8.167781642929896
anshun,842.96,90,1020.34,1020.34,15.55,15.55,15.55,114.256,,1.19,26.17737152659781,106.26726271703836
soyo,,74,1010.0,,28.0,28.0,28.0,350.0,,4.1,-7.440694024253332,10.512555752259061
vestmannaeyjar,,93,972.0,,11.0,11.0,11.0,60.0,13.4,8.2,54.77425538736867,-21.947596838422328
muravlenko,1008.62,77,1022.25,1022.25,1.35,1.35,1.35,298.224,,3.2,64.0205047546628,73.78068020553292
ferrol,,60,1021.0,,21.23,23.0,19.44,30.0,,1.5,44.950068929973526,-9.3540800183859
nabire,958.43,97,1010.29,1010.29,21.15,21.15,21.15,213.385,,1.3,-3.32216615196117,133.84517601438745
watsa,904.21,94,1006.04,1006.04,21.85,21.85,21.85,69.172,,1.16,3.92828873339856,29.377230309264178
itatinga,933.71,57,1014.37,1014.37,26.05,26.05,26.05,99.34,,4.24,-23.18724626012572,-48.38617315277193
goderich,,85,1019.0,,13.68,14.44,12.78,262.0,6.26,4.47,2.5693348852344826,-21.341651178786776
